hora,multas,tiempos,choques,velocidades,cant_autos
0,6,535.1805555555555,0,82.27794967702823,360
1,15,657.8472222222222,0,82.14379371333489,360
2,10,652.125,0,82.21215573128427,360
3,12,655.75,0,82.15932892034014,360
4,9,662.9111111111112,0,82.00335813519425,360
5,11,652.6361111111111,0,82.12906165813679,360
6,11,653.2805555555556,0,82.3331867518956,360
7,7,624.1267123287671,0,79.5533107718051,584
8,1,678.5043177892919,0,79.40449556260515,579
9,2,681.7325174825174,0,79.47143010533513,572
10,3,678.838596491228,0,79.53673168639213,570
11,11,737.7632311977716,0,81.9257043228881,359
12,8,655.4444444444445,0,82.2194406562727,360
13,8,658.2194444444444,0,82.06150679266467,360
14,7,654.5555555555555,2,82.111185918333,360
15,9,653.3861111111111,0,82.30134895088125,360
16,4,628.4685816876122,0,79.64133714034811,557
17,4,677.5227686703097,0,79.5499499855562,549
18,0,681.3186003683242,0,79.54646611113581,543
19,3,677.3438077634011,0,79.57879236942802,541
20,9,724.6155988857938,0,82.11072999430051,359
21,6,658.0527777777778,0,82.15079062959016,360
22,5,659.1033519553073,0,82.24555972860328,358
23,7,654.5070422535211,1,96.03838801445744,355
