hora,multas,tiempos,choques,velocidades,cant_autos
0,14,543.2869080779944,0,80.32803364049452,359
1,12,671.3416666666667,0,80.19142099099831,360
2,9,671.2583333333333,0,80.23399014677557,360
3,8,673.125,0,80.24737302698037,360
4,9,669.6555555555556,0,80.18514141966531,360
5,10,671.5138888888889,0,80.22749369585628,360
6,4,673.1866295264624,0,80.23238165027426,359
7,12,675.5817694369973,0,78.09100293250938,373
8,9,693.1405405405405,0,77.98798497017583,370
9,11,684.9892183288409,0,77.97547824639314,371
10,11,690.5277777777778,0,78.55315635136242,360
11,9,679.991643454039,0,80.1929239868491,359
12,6,672.8635097493036,0,80.27214484380251,359
13,8,669.4385474860335,0,80.25744427487614,358
14,7,671.1114206128134,0,80.26444750069638,359
15,8,671.1138888888889,0,80.27445399182757,360
16,10,679.2788732394366,0,78.50819658371573,355
17,9,686.8647887323943,0,78.4173561824301,355
18,3,703.1140350877193,0,78.43886621458418,342
19,10,664.4788732394367,0,78.45841662125514,355
20,9,684.4413407821229,0,80.21635516102609,358
21,10,671.3583333333333,0,80.3049263862181,360
22,7,671.1532033426184,0,80.31796129836708,359
23,8,671.7305555555556,0,127.48546180992511,360
