hora,multas,tiempos,choques,velocidades,cant_autos
0,10,544.3666666666667,0,80.30359413433862,360
1,10,671.5944444444444,0,80.26276215802253,360
2,9,671.1277777777777,0,80.30541592168493,360
3,8,671.325,0,80.31979166969299,360
4,10,671.4666666666667,0,80.25641800534886,360
5,5,671.3305555555555,0,80.29666727018743,360
6,6,671.1805555555555,0,80.30935538398272,360
7,9,678.1090909090909,0,77.78014068550702,385
8,6,694.2675324675324,0,77.39789525833795,385
9,9,695.541884816754,0,77.64834841299331,382
10,12,692.3864229765013,0,77.79338877963883,383
11,6,686.9108635097493,0,80.19459773467203,359
12,12,671.5222222222222,0,80.27306175866423,360
13,8,671.9666666666667,0,80.21395802683256,360
14,9,671.2777777777778,0,80.28155687792993,360
15,12,671.0444444444445,0,80.3155374811174,360
16,7,677.8492063492064,0,78.12360645359671,378
17,8,683.9678284182305,0,78.26028926876226,373
18,10,690.074074074074,0,78.03942614441736,378
19,7,692.3667546174142,0,78.07463098617468,379
20,8,686.7988826815642,0,80.11609668383383,358
21,9,672.975,0,80.29981961926156,360
22,3,669.2972222222222,0,80.31022197635689,360
23,11,671.2813370473538,0,124.02521269237701,359
