hora,multas,tiempos,choques,velocidades,cant_autos
0,0,542.4860335195531,0,80.47777917588411,358
1,0,669.9638888888888,0,80.44800191454524,360
2,0,669.3611111111111,0,80.4568065780127,360
3,0,672.0444444444445,0,80.4365691235397,360
4,2,667.924791086351,0,80.43521980703359,359
5,0,669.9777777777778,0,80.44812855055346,360
6,0,671.8472222222222,0,80.44283686749812,360
7,1,650.3170212765957,0,78.95604223213975,470
8,0,683.5704989154013,0,78.95320304655506,461
9,1,680.921875,0,78.95572531066405,448
10,0,683.7390350877193,0,78.96324687562999,456
11,0,707.4674220963173,1,80.50416784344416,353
12,0,670.1027777777778,0,80.4396275513769,360
13,0,669.6555555555556,0,80.48881587428122,360
14,0,671.7888888888889,0,80.46606000545971,360
15,0,669.5388888888889,0,80.52509949655428,360
16,0,659.7039627039627,0,78.98751955015946,429
17,0,674.844705882353,0,78.9577634643694,425
18,0,679.7806603773585,0,78.87940307098218,424
19,0,699.0,0,78.97708358891914,416
20,1,689.2997198879552,0,80.47142268117173,357
21,0,669.125,0,80.53076135346593,360
22,0,672.4735376044569,0,80.41364925852523,359
23,0,669.6638888888889,0,78.51247837986995,360
