hora,multas,tiempos,choques,velocidades,cant_autos
0,2,541.8711484593838,1,81.10440244460632,357
1,3,664.7762039660057,0,81.00331093302297,353
2,2,662.1871508379888,0,81.1290959059748,358
3,1,666.4888888888889,0,80.87759125782392,360
4,1,664.1777777777778,0,81.12401549674738,360
5,0,663.0527777777778,0,81.07753444335594,360
6,0,668.0472222222222,0,81.07519820036147,360
7,0,633.73055028463,0,79.34732264398752,527
8,0,675.3110687022901,0,79.34252353138444,524
9,1,681.6905660377358,0,79.34637699766897,530
10,1,679.4335260115607,0,79.33010120751256,519
11,1,731.6797752808989,0,80.95382471407626,356
12,1,667.1972222222222,0,80.91274396428126,360
13,2,661.0527777777778,0,81.0707436175746,360
14,0,666.7138888888888,0,80.9609629084198,360
15,4,666.6416666666667,0,81.05623917093415,360
16,0,635.0733082706766,0,79.3601358938305,532
17,1,681.5697896749522,0,79.32324476095988,523
18,0,676.6848249027238,0,79.32393398384765,514
19,0,678.0545808966862,0,79.28794758517023,513
20,1,729.7262569832402,0,80.74970854076311,358
21,3,670.2172701949861,0,81.08663294516167,359
22,1,659.2388888888889,0,81.20249145040661,360
23,1,664.6583333333333,0,61.166389695419795,360
