hora,multas,tiempos,choques,velocidades,cant_autos
0,20,537.2555555555556,1,82.32023890219294,360
1,22,651.6555555555556,0,82.26422774393872,360
2,21,657.2194444444444,0,82.31240460760596,360
3,33,653.5305555555556,0,82.23929732559458,360
4,23,658.85,1,82.10904001288421,360
5,27,653.85,0,82.17309834597076,360
6,25,657.9972222222223,0,82.14971033839781,360
7,11,621.5562913907285,0,79.45598844110191,604
8,11,679.2991596638656,0,79.4594666610165,595
9,15,681.2192242833053,0,79.4069665396864,593
10,10,678.1635434412266,0,79.48013887490642,587
11,24,746.4357541899441,1,82.0096152074655,358
12,38,653.8805555555556,0,82.2183162401156,360
13,29,654.5166666666667,1,82.3302640035435,360
14,32,655.9583333333334,0,82.22323440052857,360
15,32,654.6138888888889,0,82.32010312061578,360
16,13,625.4208695652173,0,79.68781490294296,575
17,16,676.5173010380623,0,79.56993511660205,578
18,15,676.2797202797203,0,79.60238185309949,572
19,19,681.6643109540636,0,79.65928784404707,566
20,21,738.7883008356546,0,81.81394538993638,359
21,28,652.9055555555556,0,82.39349343561011,360
22,26,656.4888888888889,0,82.12090572493354,360
23,24,659.5138888888889,0,119.83207727155961,360
