hora,multas,tiempos,choques,velocidades,cant_autos
0,4,544.1833333333333,0,80.3588957280429,360
1,12,670.4472222222222,0,80.36459461924275,360
2,7,671.2694444444444,0,80.28350348171747,360
3,7,673.6777777777778,0,80.23370478122521,360
4,7,669.2111111111111,0,80.30302654018257,360
5,7,673.4345403899722,0,80.265464174457,359
6,11,670.0527777777778,0,80.21026215136553,360
7,8,675.1428571428571,0,77.86391743119015,385
8,5,694.8776041666666,0,77.52622987021424,384
9,8,694.1256544502618,0,77.87548830787553,382
10,6,695.8266666666667,0,78.10637510817509,375
11,3,680.1894150417827,0,80.17072442287734,359
12,9,671.6861111111111,0,80.23583732501491,360
13,11,671.7305555555556,0,80.26633842444713,360
14,9,671.1305555555556,0,80.3227437909914,360
15,8,671.2333333333333,0,80.30589362470205,360
16,9,677.3243967828419,0,78.69713553380149,373
17,13,682.3279569892474,0,78.51676960146665,372
18,16,686.5603217158177,0,78.47368343743452,373
19,10,689.32,0,78.42971633907102,375
20,6,681.866295264624,0,80.27966540247365,359
21,10,672.0527777777778,0,80.22787199436732,360
22,9,673.8194444444445,0,80.2730296715816,360
23,4,669.2861111111112,0,118.0098130740694,360
