hora,multas,tiempos,choques,velocidades,cant_autos
0,7,545.4428969359332,0,80.34765677069873,359
1,6,670.0361111111112,0,80.22329523546199,360
2,9,671.5972222222222,0,80.26577239997151,360
3,7,671.2944444444445,0,80.2862316159676,360
4,12,673.5916666666667,0,80.25058907058678,360
5,9,669.1305555555556,0,80.3284255469274,360
6,9,671.1527777777778,0,80.30449783528789,360
7,5,675.6072351421188,0,77.58767413317787,387
8,5,694.4114583333334,0,77.62917865816979,384
9,11,697.1256544502618,0,77.4528308681408,382
10,9,693.0053333333333,0,77.86691236853166,375
11,9,687.4484679665738,0,80.19674396785854,359
12,4,675.3833333333333,0,80.2335787867354,360
13,7,668.0555555555555,0,80.24430661655549,360
14,4,671.2527777777777,0,80.30418354191397,360
15,5,671.3694444444444,0,80.27704598277303,360
16,10,686.15,0,77.84462785123594,380
17,11,679.4647519582245,0,77.87889966788352,383
18,12,696.4106666666667,0,78.0643199229066,375
19,9,692.526455026455,0,77.93099504057663,378
20,7,682.5682451253482,0,80.24018533422066,359
21,4,671.5722222222222,0,80.26440988958588,360
22,6,671.7,0,80.25652071430824,360
23,6,673.2027777777778,0,112.65253642355533,360
